time_s,day,pressure_bar,fill_pct,liquid_flow_kg_per_h,vapor_flow_kg_per_h,bog_excess_kg
0.0,0.0,1.0,83.0,-0.0,-0.0,0.0
10.0,0.00011574074074074075,1.003758320254794,82.99904060144769,1174.3856691264,0.0,0.0
20.0,0.0002314814814814815,1.0073295907357764,82.99808085415454,1174.3856691264,0.0,0.0
30.0,0.00034722222222222224,1.0108862265502239,82.9971211949403,1174.3856691264,0.0,0.0
40.0,0.000462962962962963,1.0144280817481748,82.99616162547247,1174.3856691264,0.0,0.0
50.0,0.0005787037037037037,1.0179550256703422,82.99520214726816,1174.3856691264,0.0,0.0
60.0,0.0006944444444444445,1.0214669408564085,82.9942427617146,1174.3856691264,0.0,0.0
70.0,0.0008101851851851852,1.0249637213923701,82.99328347008871,1174.3856691264,0.0,0.0
80.0,0.000925925925925926,1.0284452715764683,82.99232427356905,1174.3856691264,0.0,0.0
90.0,0.0010416666666666667,1.031911504823565,82.99136517324766,1174.3856691264,0.0,0.0
100.0,0.0011574074074074073,1.0353623427516174,82.99040617013951,1174.3856691264,0.0,0.0
110.0,0.0012731481481481483,1.0387977144101788,82.98944726518978,1174.3856691264,0.0,0.0
120.0,0.001388888888888889,1.0422175556216926,82.98848845928075,1174.3856691264,0.0,0.0
130.0,0.0015046296296296296,1.045621808413484,82.9875297532366,1174.3856691264,0.0,0.0
140.0,0.0016203703703703703,1.0490104205239856,82.98657114782901,1174.3856691264,0.0,0.0
150.0,0.001736111111111111,1.0523833449699942,82.98561264378024,1174.3856691264,0.0,0.0
160.0,0.001851851851851852,1.0557405396651267,82.9846542417675,1174.3856691264,0.0,0.0
170.0,0.0019675925925925924,1.059081967081148,82.98369594242573,1174.3856691264,0.0,0.0
180.0,0.0020833333333333333,1.0624075939458357,82.98273774635064,1174.3856691264,0.0,0.0
190.0,0.002199074074074074,1.0657173909720201,82.98177965410105,1174.3856691264,0.0,0.0
200.0,0.0023148148148148147,1.069011332613438,82.98082166620038,1174.3856691264,0.0,0.0
210.0,0.0024305555555555556,1.0722893968440494,82.97986378314035,1174.3856691264,0.0,0.0
220.0,0.0025462962962962965,1.0755515649573262,82.9789060053806,1174.3856691264,0.0,0.0
230.0,0.002662037037037037,1.0787978213835936,82.97794833335213,1174.3856691264,0.0,0.0
240.0,0.002777777777777778,1.0820281535227834,82.97699076745802,1174.3856691264,0.0,0.0
250.0,0.0028935185185185184,1.0852425515910447,82.97603330807493,1174.3856691264,0.0,0.0
260.0,0.0030092592592592593,1.0884410084795066,82.97507595555346,1174.3856691264,0.0,0.0
270.0,0.003125,1.0916235196241586,82.97411871022122,1174.3856691264,0.0,0.0
280.0,0.0032407407407407406,1.0947900828851242,82.97316157238193,1174.3856691264,0.0,0.0
290.0,0.0033564814814814816,1.0979406984349283,82.97220454231757,1174.3856691264,0.0,0.0
300.0,0.003472222222222222,1.1010753686544401,82.97124762028875,1174.3856691264,0.0,0.0
310.0,0.003587962962962963,1.1041940980359364,82.9702908065356,1174.3856691264,0.0,0.0
320.0,0.003703703703703704,1.1072968930925984,82.96933410127923,1174.3856691264,0.0,0.0
330.0,0.0038194444444444443,1.1103837622736246,82.96837750472109,1174.3856691264,0.0,0.0
340.0,0.003935185185185185,1.1134547158848511,82.96742101704531,1174.3856691264,0.0,0.0
350.0,0.004050925925925926,1.1165097660139076,82.96646463841792,1174.3856691264,0.0,0.0
360.0,0.004166666666666667,1.119548926459916,82.96550836898824,1174.3856691264,0.0,0.0
370.0,0.0042824074074074075,1.1225722126671311,82.96455220888946,1174.3856691264,0.0,0.0
380.0,0.004398148148148148,1.1255796416621857,82.96359615823857,1174.3856691264,0.0,0.0
390.0,0.0045138888888888885,1.128571231994826,82.96264021713776,1174.3856691264,0.0,0.0
400.0,0.004629629629629629,1.1315470036816067,82.96168438567402,1174.3856691264,0.0,0.0
410.0,0.00474537037037037,1.1345069781525672,82.96072866392052,1174.3856691264,0.0,0.0
420.0,0.004861111111111111,1.1374511782004133,82.95977305193615,1174.3856691264,0.0,0.0
430.0,0.004976851851851852,1.1403796279322382,82.95881754976642,1174.3856691264,0.0,0.0
440.0,0.005092592592592593,1.143292352723471,82.95786215744376,1174.3856691264,0.0,0.0
450.0,0.005208333333333333,1.1461893791739735,82.9569068749885,1174.3856691264,0.0,0.0
460.0,0.005324074074074074,1.1490707350658969,82.95595170240767,1174.3856691264,0.0,0.0
470.0,0.005439814814814815,1.1519364493236772,82.95499663969733,1174.3856691264,0.0,0.0
480.0,0.005555555555555556,1.1547865519754146,82.95404168684136,1174.3856691264,0.0,0.0
490.0,0.005671296296296297,1.157621074116021,82.95308684381243,1174.3856691264,0.0,0.0
500.0,0.005787037037037037,1.1604400478718355,82.95213211057265,1174.3856691264,0.0,0.0
510.0,0.005902777777777778,1.163243506366493,82.95117748707274,1174.3856691264,0.0,0.0
520.0,0.0060185185185185185,1.1660314836883154,82.9502229732537,1174.3856691264,0.0,0.0
530.0,0.0061342592592592594,1.1688040148587444,82.94926856904623,1174.3856691264,0.0,0.0
540.0,0.00625,1.1715611357881321,82.9483142743712,1174.3856691264,0.0,0.0
550.0,0.00636574074074074,1.1743028832306388,82.9473600891404,1174.3856691264,0.0,0.0
560.0,0.006481481481481481,1.1770292948301075,82.94640601325604,1174.3856691264,0.0,0.0
570.0,0.006597222222222222,1.1797404090483643,82.9454520466109,1174.3856691264,0.0,0.0
580.0,0.006712962962962963,1.1824362651388705,82.94449818908875,1174.3856691264,0.0,0.0
590.0,0.006828703703703704,1.1851169031213153,82.94354444056546,1174.3856691264,0.0,0.0
600.0,0.006944444444444444,1.1877823637568323,82.94259080090791,1174.3856691264,0.0,0.0
610.0,0.007060185185185185,1.1904326885241951,82.94163726997503,1174.3856691264,0.0,0.0
620.0,0.007175925925925926,1.1930679195966414,82.94068384761772,1174.3856691264,0.0,0.0
630.0,0.007291666666666667,1.1956880998194526,82.93973053367914,1174.3856691264,0.0,0.0
640.0,0.007407407407407408,1.1982932726882078,82.93877732799525,1174.3856691264,0.0,0.0
650.0,0.007523148148148148,1.200883482327555,82.93782423039372,1174.3856691264,0.0,0.0
660.0,0.007638888888888889,1.2034587734708726,82.93687124069606,1174.3856691264,0.0,0.0
670.0,0.0077546296296296295,1.2060191914402172,82.93591835871653,1174.3856691264,0.0,0.0
680.0,0.00787037037037037,1.2085647821269487,82.93496558426212,1174.3856691264,0.0,0.0
690.0,0.00798611111111111,1.2110955919729802,82.93401291713364,1174.3856691264,0.0,0.0
700.0,0.008101851851851851,1.2136116679523778,82.93306035712524,1174.3856691264,0.0,0.0
710.0,0.008217592592592592,1.216113057553578,82.93210790402479,1174.3856691264,0.0,0.0
720.0,0.008333333333333333,1.2185998087620142,82.9311555576141,1174.3856691264,0.0,0.0
730.0,0.008449074074074074,1.221071970043218,82.93020331766897,1174.3856691264,0.0,0.0
740.0,0.008564814814814815,1.2235295903263073,82.92925118395907,1174.3856691264,0.0,0.0
750.0,0.008680555555555556,1.2259727189880423,82.92829915624903,1174.3856691264,0.0,0.0
760.0,0.008796296296296297,1.2284014058370436,82.92734723429724,1174.3856691264,0.0,0.0
770.0,0.008912037037037038,1.2308157010986682,82.92639541785735,1174.3856691264,0.0,0.0
780.0,0.009027777777777777,1.2332156553999944,82.925443706677,1174.3856691264,0.0,0.0
790.0,0.009143518518518518,1.235601319755454,82.92449210049953,1174.3856691264,0.0,0.0
800.0,0.009259259259259259,1.2379727455525382,82.92354059906283,1174.3856691264,0.0,0.0
810.0,0.009375,1.2403299845380105,82.9225892020998,1174.3856691264,0.0,0.0
820.0,0.00949074074074074,1.242673088804438,82.92163790933903,1174.3856691264,0.0,0.0
830.0,0.009606481481481481,1.2450021107769769,82.92068672050436,1174.3856691264,0.0,0.0
840.0,0.009722222222222222,1.247317103200473,82.919735635315,1174.3856691264,0.0,0.0
850.0,0.009837962962962963,1.249618119126946,82.9187846534863,1174.3856691264,0.0,0.0
